Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000279026	3.404263074419676	-0.517837741312302	0.1736117060448782	4.512861465707573e-4	0.0018124762169160259	TRUE
ENSG00000205037	3.070467290492949	-0.51783961008653	0.17254741869565626	4.0834238742859817e-4	0.0016580843307487088	TRUE
ENSG00000134321	8.07787122041592	-0.5178406352838484	0.17541777034784886	5.171597440763606e-4	0.002052582580173322	TRUE
ENSG00000274292	13.434195286370832	-0.5178677857052213	0.12575896647084156	6.812181369307983e-6	3.882852712608e-5	TRUE
ENSG00000179673	30.589855547389334	-0.5180488497730555	0.11736947306527658	1.9786817265493942e-6	1.2367362433394962e-5	TRUE
ENSG00000267871	6.615474361416372	-0.5187722010744815	0.11528916646516324	1.2745635038480184e-6	8.261833812153086e-6	TRUE
ENSG00000205116	0.6305960048133658	-0.5189967248560197	0.3964246776773899	0.016316969903775007	0.04526228453821643	TRUE
ENSG00000158286	69.21924938343362	-0.5192451175291719	0.18441520497601174	8.69427078096128e-4	0.0032944888322784262	TRUE
ENSG00000080618	0.9233570295112222	-0.51932811336017	0.32015025363161387	0.011023626566949427	0.03212315190102311	TRUE
ENSG00000276644	280.71221635124465	-0.5193763210061255	0.09117474764369896	2.6881955533761163e-9	2.6824537764659925e-8	TRUE
ENSG00000064655	69.12081819641199	-0.5194090144695417	0.15936107056968413	2.0944514571765506e-4	9.044862217168313e-4	TRUE
ENSG00000256028	24.617150892477774	-0.5209685099968714	0.18468041609999486	7.914554916125422e-4	0.003022209668150434	TRUE
ENSG00000259964	19.56558927669815	-0.5227657131465498	0.10367734972473103	8.742555144926891e-8	6.840437102585155e-7	TRUE
ENSG00000138615	11.15037349820856	-0.5229989945048432	0.09914604570614131	2.3794759245283955e-8	2.0530770275606823e-7	TRUE
ENSG00000180596	3.942378993665334	-0.5230157131806746	0.15599667276095092	1.2792717370283598e-4	5.732627708919377e-4	TRUE
